"","Department.Name","Strategic.Goal","Measure.Title","Measure.Description","Measure.Methodology","Measure.Data.Type","Fiscal.Year","End.Calendar.Year","Target","Mid.Year.Result","Mid.Year.Projection","Full.Year.Result","Data.Notes","post_covid","pre_covid"
"1041","ASIAN ART MUSEUM","Illuminate Asian art and culture for a global audience","Number of museum visitors","Number of every museum visitor entering the front door.","Collection Method: At the admission desk of AAM, all visitors (both paid and non-paid) are ticketed.  The visitor data is collected from the computerized ticketing system. Timing:  Daily/Weekly/ Monthly","Numeric","FY2012-13",2013,"205,000","72,467","","318,914","",0,1
"1042","ASIAN ART MUSEUM","Illuminate Asian art and culture for a global audience","Number of museum visitors","Number of every museum visitor entering the front door.","Collection Method: At the admission desk of AAM, all visitors (both paid and non-paid) are ticketed.  The visitor data is collected from the computerized ticketing system. Timing:  Daily/Weekly/ Monthly","Numeric","FY2013-14",2014,"220,000","128,235","","284,135","",0,1
"1043","ASIAN ART MUSEUM","Illuminate Asian art and culture for a global audience","Number of museum visitors","Number of every museum visitor entering the front door.","Collection Method: At the admission desk of AAM, all visitors (both paid and non-paid) are ticketed.  The visitor data is collected from the computerized ticketing system. Timing:  Daily/Weekly/ Monthly","Numeric","FY2014-15",2015,"225,050","126,173","240,000","269,876","",0,1
"1044","ASIAN ART MUSEUM","Illuminate Asian art and culture for a global audience","Number of museum visitors","Number of every museum visitor entering the front door.","Collection Method: At the admission desk of AAM, all visitors (both paid and non-paid) are ticketed.  The visitor data is collected from the computerized ticketing system. Timing:  Daily/Weekly/ Monthly","Numeric","FY2015-16",2016,"270,000","127,034","250,000","273,401","",0,1
"1045","ASIAN ART MUSEUM","Illuminate Asian art and culture for a global audience","Number of museum visitors","Number of every museum visitor entering the front door.","Collection Method: At the admission desk of AAM, all visitors (both paid and non-paid) are ticketed.  The visitor data is collected from the computerized ticketing system. Timing:  Daily/Weekly/ Monthly","Numeric","FY2016-17",2017,"250,000","153,723","275,000","295,003","",0,1
"1046","ASIAN ART MUSEUM","Illuminate Asian art and culture for a global audience","Number of museum visitors","Number of every museum visitor entering the front door.","Collection Method: At the admission desk of AAM, all visitors (both paid and non-paid) are ticketed.  The visitor data is collected from the computerized ticketing system. Timing:  Daily/Weekly/ Monthly","Numeric","FY2017-18",2018,"200,000","101,580","210,000","210,010","",0,1
"1047","ASIAN ART MUSEUM","Illuminate Asian art and culture for a global audience","Number of museum visitors","Number of every museum visitor entering the front door.","Collection Method: At the admission desk of AAM, all visitors (both paid and non-paid) are ticketed.  The visitor data is collected from the computerized ticketing system. Timing:  Daily/Weekly/ Monthly","Numeric","FY2018-19",2019,"210,000","88,185","180,000","192,063","",0,1
"1048","ASIAN ART MUSEUM","Illuminate Asian art and culture for a global audience","Number of museum visitors","Number of every museum visitor entering the front door.","Collection Method: At the admission desk of AAM, all visitors (both paid and non-paid) are ticketed.  The visitor data is collected from the computerized ticketing system. Timing:  Daily/Weekly/ Monthly","Numeric","FY2019-20",2020,"307,000","88,501","239,000","93,599","",0,0
"1049","ASIAN ART MUSEUM","Illuminate Asian art and culture for a global audience","Number of museum visitors","Number of every museum visitor entering the front door.","Collection Method: At the admission desk of AAM, all visitors (both paid and non-paid) are ticketed.  The visitor data is collected from the computerized ticketing system. Timing:  Daily/Weekly/ Monthly","Numeric","FY2020-21",2021,"350,000","","19,000","23,564","",0,0
"1050","ASIAN ART MUSEUM","Illuminate Asian art and culture for a global audience","Number of museum visitors","Number of every museum visitor entering the front door.","Collection Method: At the admission desk of AAM, all visitors (both paid and non-paid) are ticketed.  The visitor data is collected from the computerized ticketing system. Timing:  Daily/Weekly/ Monthly","Numeric","FY2021-22",2022,"103,000","114,626","170,000","173,000","",1,0
"1051","ASIAN ART MUSEUM","Illuminate Asian art and culture for a global audience","Number of museum visitors","Number of every museum visitor entering the front door.","Collection Method: At the admission desk of AAM, all visitors (both paid and non-paid) are ticketed.  The visitor data is collected from the computerized ticketing system. Timing:  Daily/Weekly/ Monthly","Numeric","FY2022-23",2023,"200,000","49,500","115,000","106,000","",1,0
"1052","ASIAN ART MUSEUM","Illuminate Asian art and culture for a global audience","Number of museum visitors","Number of every museum visitor entering the front door.","Collection Method: At the admission desk of AAM, all visitors (both paid and non-paid) are ticketed.  The visitor data is collected from the computerized ticketing system. Timing:  Daily/Weekly/ Monthly","Numeric","FY2023-24",2024,"300,000","99,776","185,000","180,900","No public data notes.",1,0
"1053","ASIAN ART MUSEUM","Illuminate Asian art and culture for a global audience","Number of museum visitors","Number of every museum visitor entering the front door.","Collection Method: At the admission desk of AAM, all visitors (both paid and non-paid) are ticketed.  The visitor data is collected from the computerized ticketing system. Timing:  Daily/Weekly/ Monthly","Numeric","FY2024-25",2025,"175,000","54,906","110,000","113,551","No public data notes.",1,0
"1054","ASIAN ART MUSEUM","Illuminate Asian art and culture for a global audience","Number of museum visitors","Number of every museum visitor entering the front door.","Collection Method: At the admission desk of AAM, all visitors (both paid and non-paid) are ticketed.  The visitor data is collected from the computerized ticketing system. Timing:  Daily/Weekly/ Monthly","Numeric","FY2025-26",2026,"100,000","","","","No public data notes.",1,0
"1055","ASIAN ART MUSEUM","Illuminate Asian art and culture for a global audience","Number of museum visitors","Number of every museum visitor entering the front door.","Collection Method: At the admission desk of AAM, all visitors (both paid and non-paid) are ticketed.  The visitor data is collected from the computerized ticketing system. Timing:  Daily/Weekly/ Monthly","Numeric","FY2026-27",2027,"125,000","","","","No public data notes.",1,0
