"","Department.Name","Strategic.Goal","Measure.Title","Measure.Description","Measure.Methodology","Measure.Data.Type","Fiscal.Year","End.Calendar.Year","Target","Mid.Year.Result","Mid.Year.Projection","Full.Year.Result","Data.Notes","post_covid","pre_covid"
"1","ACADEMY OF SCIENCES","Educate and inspire the world","Number of visitors","Number of visitors to Aquarium and Academy.","Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.","Numeric","FY2012-13",2013,"1,550,000","763,000","","1,474,878","",0,1
"2","ACADEMY OF SCIENCES","Educate and inspire the world","Number of visitors","Number of visitors to Aquarium and Academy.","Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.","Numeric","FY2013-14",2014,"1,425,000","682,105","","1,353,953","",0,1
"3","ACADEMY OF SCIENCES","Educate and inspire the world","Number of visitors","Number of visitors to Aquarium and Academy.","Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.","Numeric","FY2014-15",2015,"1,425,000","640,896","1,426,000","1,394,572","",0,1
"4","ACADEMY OF SCIENCES","Educate and inspire the world","Number of visitors","Number of visitors to Aquarium and Academy.","Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.","Numeric","FY2015-16",2016,"1,400,000","694,140","1,400,000","1,200,073","",0,1
"5","ACADEMY OF SCIENCES","Educate and inspire the world","Number of visitors","Number of visitors to Aquarium and Academy.","Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.","Numeric","FY2016-17",2017,"1,415,000","806,612","1,400,000","1,371,003","",0,1
"6","ACADEMY OF SCIENCES","Educate and inspire the world","Number of visitors","Number of visitors to Aquarium and Academy.","Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.","Numeric","FY2017-18",2018,"1,350,000","602,772","1,188,569","1,295,000","",0,1
"7","ACADEMY OF SCIENCES","Educate and inspire the world","Number of visitors","Number of visitors to Aquarium and Academy.","Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.","Numeric","FY2018-19",2019,"1,350,000","648,600","1,248,300","1,332,080","",0,1
"8","ACADEMY OF SCIENCES","Educate and inspire the world","Number of visitors","Number of visitors to Aquarium and Academy.","Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.","Numeric","FY2019-20",2020,"1,259,000","635,000","1,205,000","815,703","",0,0
"9","ACADEMY OF SCIENCES","Educate and inspire the world","Number of visitors","Number of visitors to Aquarium and Academy.","Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.","Numeric","FY2020-21",2021,"1,125,000","","238,762","233,732","",0,0
"10","ACADEMY OF SCIENCES","Educate and inspire the world","Number of visitors","Number of visitors to Aquarium and Academy.","Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.","Numeric","FY2021-22",2022,"631,500","384,277","845,938","770,160","",1,0
"11","ACADEMY OF SCIENCES","Educate and inspire the world","Number of visitors","Number of visitors to Aquarium and Academy.","Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.","Numeric","FY2022-23",2023,"1,059,983","490,409","1,017,648","1,081,908","",1,0
"12","ACADEMY OF SCIENCES","Educate and inspire the world","Number of visitors","Number of visitors to Aquarium and Academy.","Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.","Numeric","FY2023-24",2024,"1,093,000","583,888","1,179,245","1,226,452","",1,0
"13","ACADEMY OF SCIENCES","Educate and inspire the world","Number of visitors","Number of visitors to Aquarium and Academy.","Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.","Numeric","FY2024-25",2025,"1,322,185","571,304","1,228,690","1,218,147","",1,0
"14","ACADEMY OF SCIENCES","Educate and inspire the world","Number of visitors","Number of visitors to Aquarium and Academy.","Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.","Numeric","FY2025-26",2026,"1,198,392","","","","No public data notes.",1,0
"15","ACADEMY OF SCIENCES","Educate and inspire the world","Number of visitors","Number of visitors to Aquarium and Academy.","Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.","Numeric","FY2026-27",2027,"1,198,392","","","","No public data notes.",1,0
