"","Department.Name","Strategic.Goal","Measure.Title","Measure.Description","Measure.Methodology","Measure.Data.Type","Fiscal.Year","End.Calendar.Year","Target","Mid.Year.Result","Mid.Year.Projection","Full.Year.Result","Data.Notes","post_covid","pre_covid"
"4060","FINE ARTS MUSEUM","Lead as two of the major museums on the West Coast","Number of Legion of Honor visitors","Number of visitors to the Legion of Honor.","Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.","Numeric","FY2012-13",2013,"300,000","150,049","","307,780","",0,1
"4061","FINE ARTS MUSEUM","Lead as two of the major museums on the West Coast","Number of Legion of Honor visitors","Number of visitors to the Legion of Honor.","Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.","Numeric","FY2013-14",2014,"317,500","227,346","","448,210","",0,1
"4062","FINE ARTS MUSEUM","Lead as two of the major museums on the West Coast","Number of Legion of Honor visitors","Number of visitors to the Legion of Honor.","Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.","Numeric","FY2014-15",2015,"347,276","172,499","347,276","338,784","",0,1
"4063","FINE ARTS MUSEUM","Lead as two of the major museums on the West Coast","Number of Legion of Honor visitors","Number of visitors to the Legion of Honor.","Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.","Numeric","FY2015-16",2016,"350,000","114,757","350,000","330,227","",0,1
"4064","FINE ARTS MUSEUM","Lead as two of the major museums on the West Coast","Number of Legion of Honor visitors","Number of visitors to the Legion of Honor.","Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.","Numeric","FY2016-17",2017,"350,000","131,193","380,000","451,392","",0,1
"4065","FINE ARTS MUSEUM","Lead as two of the major museums on the West Coast","Number of Legion of Honor visitors","Number of visitors to the Legion of Honor.","Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.","Numeric","FY2017-18",2018,"500,000","278,472","380,000","474,857","",0,1
"4066","FINE ARTS MUSEUM","Lead as two of the major museums on the West Coast","Number of Legion of Honor visitors","Number of visitors to the Legion of Honor.","Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.","Numeric","FY2018-19",2019,"400,000","150,836","400,000","289,135","",0,1
"4067","FINE ARTS MUSEUM","Lead as two of the major museums on the West Coast","Number of Legion of Honor visitors","Number of visitors to the Legion of Honor.","Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.","Numeric","FY2019-20",2020,"325,000","","","194,085","",0,0
"4068","FINE ARTS MUSEUM","Lead as two of the major museums on the West Coast","Number of Legion of Honor visitors","Number of visitors to the Legion of Honor.","Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.","Numeric","FY2020-21",2021,"350,000","","56,000","62,602","",0,0
"4069","FINE ARTS MUSEUM","Lead as two of the major museums on the West Coast","Number of Legion of Honor visitors","Number of visitors to the Legion of Honor.","Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.","Numeric","FY2021-22",2022,"265,000","115,200","225,000","270,735","",1,0
"4070","FINE ARTS MUSEUM","Lead as two of the major museums on the West Coast","Number of Legion of Honor visitors","Number of visitors to the Legion of Honor.","Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.","Numeric","FY2022-23",2023,"200,000","221,472","200,000","393,362","Guo Pei extension and popularity",1,0
"4071","FINE ARTS MUSEUM","Lead as two of the major museums on the West Coast","Number of Legion of Honor visitors","Number of visitors to the Legion of Honor.","Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.","Numeric","FY2023-24",2024,"300,000","173,770","300,000","339,772","No public data notes.",1,0
"4072","FINE ARTS MUSEUM","Lead as two of the major museums on the West Coast","Number of Legion of Honor visitors","Number of visitors to the Legion of Honor.","Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.","Numeric","FY2024-25",2025,"300,000","181,464","300,000","386,862","Legion of Honor 100 celebrations contributed to the higher than expected attendance.",1,0
"4073","FINE ARTS MUSEUM","Lead as two of the major museums on the West Coast","Number of Legion of Honor visitors","Number of visitors to the Legion of Honor.","Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.","Numeric","FY2025-26",2026,"300,000","","","","No public data notes.",1,0
"4074","FINE ARTS MUSEUM","Lead as two of the major museums on the West Coast","Number of Legion of Honor visitors","Number of visitors to the Legion of Honor.","Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.","Numeric","FY2026-27",2027,"250,000","","","","No public data notes.",1,0
