"","Department.Name","Strategic.Goal","Measure.Title","Measure.Description","Measure.Methodology","Measure.Data.Type","Fiscal.Year","End.Calendar.Year","Target","Mid.Year.Result","Mid.Year.Projection","Full.Year.Result","Data.Notes","post_covid","pre_covid"
"4045","FINE ARTS MUSEUM","Lead as two of the major museums on the West Coast","Number of de Young visitors","Number of visitors to the de Young museum.  Museum was closed until Fall 2005.","Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.","Numeric","FY2012-13",2013,"1,280,000","558,486","","1,238,565","",0,1
"4046","FINE ARTS MUSEUM","Lead as two of the major museums on the West Coast","Number of de Young visitors","Number of visitors to the de Young museum.  Museum was closed until Fall 2005.","Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.","Numeric","FY2013-14",2014,"1,272,000","623,612","","1,309,790","",0,1
"4047","FINE ARTS MUSEUM","Lead as two of the major museums on the West Coast","Number of de Young visitors","Number of visitors to the de Young museum.  Museum was closed until Fall 2005.","Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.","Numeric","FY2014-15",2015,"1,081,265","506,693","1,081,265","1,103,416","",0,1
"4048","FINE ARTS MUSEUM","Lead as two of the major museums on the West Coast","Number of de Young visitors","Number of visitors to the de Young museum.  Museum was closed until Fall 2005.","Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.","Numeric","FY2015-16",2016,"1,000,000","601,863","1,000,000","1,226,656","",0,1
"4049","FINE ARTS MUSEUM","Lead as two of the major museums on the West Coast","Number of de Young visitors","Number of visitors to the de Young museum.  Museum was closed until Fall 2005.","Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.","Numeric","FY2016-17",2017,"1,150,000","446,611","1,050,000","983,983","",0,1
"4050","FINE ARTS MUSEUM","Lead as two of the major museums on the West Coast","Number of de Young visitors","Number of visitors to the de Young museum.  Museum was closed until Fall 2005.","Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.","Numeric","FY2017-18",2018,"1,200,000","570,232","1,050,000","993,815","",0,1
"4051","FINE ARTS MUSEUM","Lead as two of the major museums on the West Coast","Number of de Young visitors","Number of visitors to the de Young museum.  Museum was closed until Fall 2005.","Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.","Numeric","FY2018-19",2019,"1,100,000","421,011","1,100,000","1,120,025","",0,1
"4052","FINE ARTS MUSEUM","Lead as two of the major museums on the West Coast","Number of de Young visitors","Number of visitors to the de Young museum.  Museum was closed until Fall 2005.","Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.","Numeric","FY2019-20",2020,"1,000,000","","","521,392","",0,0
"4053","FINE ARTS MUSEUM","Lead as two of the major museums on the West Coast","Number of de Young visitors","Number of visitors to the de Young museum.  Museum was closed until Fall 2005.","Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.","Numeric","FY2020-21",2021,"1,100,000","","225,000","269,058","",0,0
"4054","FINE ARTS MUSEUM","Lead as two of the major museums on the West Coast","Number of de Young visitors","Number of visitors to the de Young museum.  Museum was closed until Fall 2005.","Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.","Numeric","FY2021-22",2022,"525,000","214,000","450,000","504,007","",1,0
"4055","FINE ARTS MUSEUM","Lead as two of the major museums on the West Coast","Number of de Young visitors","Number of visitors to the de Young museum.  Museum was closed until Fall 2005.","Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.","Numeric","FY2022-23",2023,"750,000","510,721","750,000","1,066,221","Ramses popularity",1,0
"4056","FINE ARTS MUSEUM","Lead as two of the major museums on the West Coast","Number of de Young visitors","Number of visitors to the de Young museum.  Museum was closed until Fall 2005.","Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.","Numeric","FY2023-24",2024,"1,000,000","437,630","1,000,000","859,246","No public data notes.",1,0
"4057","FINE ARTS MUSEUM","Lead as two of the major museums on the West Coast","Number of de Young visitors","Number of visitors to the de Young museum.  Museum was closed until Fall 2005.","Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.","Numeric","FY2024-25",2025,"1,000,000","363,875","800,000","778,137","Weaker exhibition attendance than expected.",1,0
"4058","FINE ARTS MUSEUM","Lead as two of the major museums on the West Coast","Number of de Young visitors","Number of visitors to the de Young museum.  Museum was closed until Fall 2005.","Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.","Numeric","FY2025-26",2026,"1,000,000","","","","No public data notes.",1,0
"4059","FINE ARTS MUSEUM","Lead as two of the major museums on the West Coast","Number of de Young visitors","Number of visitors to the de Young museum.  Museum was closed until Fall 2005.","Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.","Numeric","FY2026-27",2027,"900,000","","","","No public data notes.",1,0
