"","Department.Name","Strategic.Goal","Measure.Title","Measure.Description","Measure.Methodology","Measure.Data.Type","Fiscal.Year","End.Calendar.Year","Target","Mid.Year.Result","Mid.Year.Projection","Full.Year.Result","Data.Notes","post_covid","pre_covid"
"7218","PUBLIC LIBRARY","Be the Premier Public Library in the Nation","Number of persons entering San Francisco Main and Branch libraries, Bookmobiles, Jail and Re-Entry Services and Juvenile Justice Center","This measure represents the number of visitors entering the San Francisco Public Library�s (SFPL) Main Library and branch libraries, including Bookmobiles, Jail and Reentry Services, and the Juvenile Justice Center. The number of library visitors is an important indicator of how San Francisco's libraries are used.   https://sfgov.org/scorecards/livability/library-total-monthly-visitors","","Numeric","FY2014-15",2015,"7,780,500","","","","",0,1
"7219","PUBLIC LIBRARY","Be the Premier Public Library in the Nation","Number of persons entering San Francisco Main and Branch libraries, Bookmobiles, Jail and Re-Entry Services and Juvenile Justice Center","This measure represents the number of visitors entering the San Francisco Public Library�s (SFPL) Main Library and branch libraries, including Bookmobiles, Jail and Reentry Services, and the Juvenile Justice Center. The number of library visitors is an important indicator of how San Francisco's libraries are used.   https://sfgov.org/scorecards/livability/library-total-monthly-visitors","","Numeric","FY2015-16",2016,"6,600,000","","","","",0,1
"7220","PUBLIC LIBRARY","Be the Premier Public Library in the Nation","Number of persons entering San Francisco Main and Branch libraries, Bookmobiles, Jail and Re-Entry Services and Juvenile Justice Center","This measure represents the number of visitors entering the San Francisco Public Library�s (SFPL) Main Library and branch libraries, including Bookmobiles, Jail and Reentry Services, and the Juvenile Justice Center. The number of library visitors is an important indicator of how San Francisco's libraries are used.   https://sfgov.org/scorecards/livability/library-total-monthly-visitors","","Numeric","FY2016-17",2017,"6,700,000","","","6,210,525","",0,1
"7221","PUBLIC LIBRARY","Be the Premier Public Library in the Nation","Number of persons entering San Francisco Main and Branch libraries, Bookmobiles, Jail and Re-Entry Services and Juvenile Justice Center","This measure represents the number of visitors entering the San Francisco Public Library�s (SFPL) Main Library and branch libraries, including Bookmobiles, Jail and Reentry Services, and the Juvenile Justice Center. The number of library visitors is an important indicator of how San Francisco's libraries are used.   https://sfgov.org/scorecards/livability/library-total-monthly-visitors","","Numeric","FY2017-18",2018,"6,700,000","","","6,123,244","",0,1
"7222","PUBLIC LIBRARY","Be the Premier Public Library in the Nation","Number of persons entering San Francisco Main and Branch libraries, Bookmobiles, Jail and Re-Entry Services and Juvenile Justice Center","This measure represents the number of visitors entering the San Francisco Public Library�s (SFPL) Main Library and branch libraries, including Bookmobiles, Jail and Reentry Services, and the Juvenile Justice Center. The number of library visitors is an important indicator of how San Francisco's libraries are used.   https://sfgov.org/scorecards/livability/library-total-monthly-visitors","","Numeric","FY2018-19",2019,"6,000,000","","","5,921,679","",0,1
"7223","PUBLIC LIBRARY","Be the Premier Public Library in the Nation","Number of persons entering San Francisco Main and Branch libraries, Bookmobiles, Jail and Re-Entry Services and Juvenile Justice Center","This measure represents the number of visitors entering the San Francisco Public Library�s (SFPL) Main Library and branch libraries, including Bookmobiles, Jail and Reentry Services, and the Juvenile Justice Center. The number of library visitors is an important indicator of how San Francisco's libraries are used.   https://sfgov.org/scorecards/livability/library-total-monthly-visitors","","Numeric","FY2019-20",2020,"5,954,721","2,746,746","5,493,492","3,817,570","All library facilities closed in March 2020 in response to the pandemic and public health orders. The public had no access to library facilities through the end of FY20.",0,0
"7224","PUBLIC LIBRARY","Be the Premier Public Library in the Nation","Number of persons entering San Francisco Main and Branch libraries, Bookmobiles, Jail and Re-Entry Services and Juvenile Justice Center","This measure represents the number of visitors entering the San Francisco Public Library�s (SFPL) Main Library and branch libraries, including Bookmobiles, Jail and Reentry Services, and the Juvenile Justice Center. The number of library visitors is an important indicator of how San Francisco's libraries are used.   https://sfgov.org/scorecards/livability/library-total-monthly-visitors","","Numeric","FY2020-21",2021,"5,216,836","123,080","322,609","451,567","All SFPL facilities remained closed under the public health orders until May 2021. Between August 2020 and May 2021, SFPL patrons retrieved physical materials via SFPL To Go, SFPL's front door pickup service, but did not enter library facilities. In May 2021, SFPL started reopening for limited in-person services with Main Library, Chinatown Branch, and Mission Bay Branch.",0,0
"7225","PUBLIC LIBRARY","Be the Premier Public Library in the Nation","Number of persons entering San Francisco Main and Branch libraries, Bookmobiles, Jail and Re-Entry Services and Juvenile Justice Center","This measure represents the number of visitors entering the San Francisco Public Library�s (SFPL) Main Library and branch libraries, including Bookmobiles, Jail and Reentry Services, and the Juvenile Justice Center. The number of library visitors is an important indicator of how San Francisco's libraries are used.   https://sfgov.org/scorecards/livability/library-total-monthly-visitors","","Numeric","FY2021-22",2022,"2,300,000","1,025,299","2,300,000","2,425,569","",1,0
"7226","PUBLIC LIBRARY","Be the Premier Public Library in the Nation","Number of persons entering San Francisco Main and Branch libraries, Bookmobiles, Jail and Re-Entry Services and Juvenile Justice Center","This measure represents the number of visitors entering the San Francisco Public Library�s (SFPL) Main Library and branch libraries, including Bookmobiles, Jail and Reentry Services, and the Juvenile Justice Center. The number of library visitors is an important indicator of how San Francisco's libraries are used.   https://sfgov.org/scorecards/livability/library-total-monthly-visitors","","Numeric","FY2022-23",2023,"3,000,000","1,599,883","3,050,000","3,398,569","SFPL had greater than anticipated return from patrons visiting the libraries",1,0
"7227","PUBLIC LIBRARY","Be the Premier Public Library in the Nation","Number of persons entering San Francisco Main and Branch libraries, Bookmobiles, Jail and Re-Entry Services and Juvenile Justice Center","This measure represents the number of visitors entering the San Francisco Public Library�s (SFPL) Main Library and branch libraries, including Bookmobiles, Jail and Reentry Services, and the Juvenile Justice Center. The number of library visitors is an important indicator of how San Francisco's libraries are used.   https://sfgov.org/scorecards/livability/library-total-monthly-visitors","","Numeric","FY2023-24",2024,"3,150,000","1,898,028","3,500,000","3,976,556","No public data notes.",1,0
"7228","PUBLIC LIBRARY","Be the Premier Public Library in the Nation","Number of persons entering San Francisco Main and Branch libraries, Bookmobiles, Jail and Re-Entry Services and Juvenile Justice Center","This measure represents the number of visitors entering the San Francisco Public Library�s (SFPL) Main Library and branch libraries, including Bookmobiles, Jail and Reentry Services, and the Juvenile Justice Center. The number of library visitors is an important indicator of how San Francisco's libraries are used.   https://sfgov.org/scorecards/livability/library-total-monthly-visitors","","Numeric","FY2024-25",2025,"3,307,500","2,057,578","4,218,035","4,320,791","No public data notes.",1,0
"7229","PUBLIC LIBRARY","Be the Premier Public Library in the Nation","Number of persons entering San Francisco Main and Branch libraries, Bookmobiles, Jail and Re-Entry Services and Juvenile Justice Center","This measure represents the number of visitors entering the San Francisco Public Library�s (SFPL) Main Library and branch libraries, including Bookmobiles, Jail and Reentry Services, and the Juvenile Justice Center. The number of library visitors is an important indicator of how San Francisco's libraries are used.   https://sfgov.org/scorecards/livability/library-total-monthly-visitors","","Numeric","FY2025-26",2026,"4,471,117","","","","No public data notes.",1,0
"7230","PUBLIC LIBRARY","Be the Premier Public Library in the Nation","Number of persons entering San Francisco Main and Branch libraries, Bookmobiles, Jail and Re-Entry Services and Juvenile Justice Center","This measure represents the number of visitors entering the San Francisco Public Library�s (SFPL) Main Library and branch libraries, including Bookmobiles, Jail and Reentry Services, and the Juvenile Justice Center. The number of library visitors is an important indicator of how San Francisco's libraries are used.   https://sfgov.org/scorecards/livability/library-total-monthly-visitors","","Numeric","FY2026-27",2027,"4,739,384","","","","No public data notes.",1,0
