Source.Name,Column1,Department.Name,Strategic.Goal,Measure.Title,Measure.Description,Measure.Methodology,Measure.Data.Type,Fiscal.Year,End.Calendar.Year,Target,Mid.Year.Result,Mid.Year.Projection,Full.Year.Result,Data.Notes,post_covid,pre_covid
AcademyofScience.csv,1,ACADEMY OF SCIENCES,Educate and inspire the world,Number of visitors,Number of visitors to Aquarium and Academy.,Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.,Numeric,FY2012-13,2013,1550000,763000,,1474878,,0,1
AcademyofScience.csv,2,ACADEMY OF SCIENCES,Educate and inspire the world,Number of visitors,Number of visitors to Aquarium and Academy.,Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.,Numeric,FY2013-14,2014,1425000,682105,,1353953,,0,1
AcademyofScience.csv,3,ACADEMY OF SCIENCES,Educate and inspire the world,Number of visitors,Number of visitors to Aquarium and Academy.,Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.,Numeric,FY2014-15,2015,1425000,640896,1426000,1394572,,0,1
AcademyofScience.csv,4,ACADEMY OF SCIENCES,Educate and inspire the world,Number of visitors,Number of visitors to Aquarium and Academy.,Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.,Numeric,FY2015-16,2016,1400000,694140,1400000,1200073,,0,1
AcademyofScience.csv,5,ACADEMY OF SCIENCES,Educate and inspire the world,Number of visitors,Number of visitors to Aquarium and Academy.,Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.,Numeric,FY2016-17,2017,1415000,806612,1400000,1371003,,0,1
AcademyofScience.csv,6,ACADEMY OF SCIENCES,Educate and inspire the world,Number of visitors,Number of visitors to Aquarium and Academy.,Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.,Numeric,FY2017-18,2018,1350000,602772,1188569,1295000,,0,1
AcademyofScience.csv,7,ACADEMY OF SCIENCES,Educate and inspire the world,Number of visitors,Number of visitors to Aquarium and Academy.,Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.,Numeric,FY2018-19,2019,1350000,648600,1248300,1332080,,0,1
AcademyofScience.csv,8,ACADEMY OF SCIENCES,Educate and inspire the world,Number of visitors,Number of visitors to Aquarium and Academy.,Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.,Numeric,FY2019-20,2020,1259000,635000,1205000,815703,,0,0
AcademyofScience.csv,9,ACADEMY OF SCIENCES,Educate and inspire the world,Number of visitors,Number of visitors to Aquarium and Academy.,Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.,Numeric,FY2020-21,2021,1125000,,238762,233732,,0,0
AcademyofScience.csv,10,ACADEMY OF SCIENCES,Educate and inspire the world,Number of visitors,Number of visitors to Aquarium and Academy.,Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.,Numeric,FY2021-22,2022,631500,384277,845938,770160,,1,0
AcademyofScience.csv,11,ACADEMY OF SCIENCES,Educate and inspire the world,Number of visitors,Number of visitors to Aquarium and Academy.,Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.,Numeric,FY2022-23,2023,1059983,490409,1017648,1081908,,1,0
AcademyofScience.csv,12,ACADEMY OF SCIENCES,Educate and inspire the world,Number of visitors,Number of visitors to Aquarium and Academy.,Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.,Numeric,FY2023-24,2024,1093000,583888,1179245,1226452,,1,0
AcademyofScience.csv,13,ACADEMY OF SCIENCES,Educate and inspire the world,Number of visitors,Number of visitors to Aquarium and Academy.,Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.,Numeric,FY2024-25,2025,1322185,571304,1228690,1218147,,1,0
AcademyofScience.csv,14,ACADEMY OF SCIENCES,Educate and inspire the world,Number of visitors,Number of visitors to Aquarium and Academy.,Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.,Numeric,FY2025-26,2026,1198392,,,,No public data notes.,1,0
AcademyofScience.csv,15,ACADEMY OF SCIENCES,Educate and inspire the world,Number of visitors,Number of visitors to Aquarium and Academy.,Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.,Numeric,FY2026-27,2027,1198392,,,,No public data notes.,1,0
AsianArtMuseum.csv,1041,ASIAN ART MUSEUM,Illuminate Asian art and culture for a global audience,Number of museum visitors,Number of every museum visitor entering the front door.,"Collection Method: At the admission desk of AAM, all visitors (both paid and non-paid) are ticketed.  The visitor data is collected from the computerized ticketing system. Timing:  Daily/Weekly/ Monthly",Numeric,FY2012-13,2013,205000,72467,,318914,,0,1
AsianArtMuseum.csv,1042,ASIAN ART MUSEUM,Illuminate Asian art and culture for a global audience,Number of museum visitors,Number of every museum visitor entering the front door.,"Collection Method: At the admission desk of AAM, all visitors (both paid and non-paid) are ticketed.  The visitor data is collected from the computerized ticketing system. Timing:  Daily/Weekly/ Monthly",Numeric,FY2013-14,2014,220000,128235,,284135,,0,1
AsianArtMuseum.csv,1043,ASIAN ART MUSEUM,Illuminate Asian art and culture for a global audience,Number of museum visitors,Number of every museum visitor entering the front door.,"Collection Method: At the admission desk of AAM, all visitors (both paid and non-paid) are ticketed.  The visitor data is collected from the computerized ticketing system. Timing:  Daily/Weekly/ Monthly",Numeric,FY2014-15,2015,225050,126173,240000,269876,,0,1
AsianArtMuseum.csv,1044,ASIAN ART MUSEUM,Illuminate Asian art and culture for a global audience,Number of museum visitors,Number of every museum visitor entering the front door.,"Collection Method: At the admission desk of AAM, all visitors (both paid and non-paid) are ticketed.  The visitor data is collected from the computerized ticketing system. Timing:  Daily/Weekly/ Monthly",Numeric,FY2015-16,2016,270000,127034,250000,273401,,0,1
AsianArtMuseum.csv,1045,ASIAN ART MUSEUM,Illuminate Asian art and culture for a global audience,Number of museum visitors,Number of every museum visitor entering the front door.,"Collection Method: At the admission desk of AAM, all visitors (both paid and non-paid) are ticketed.  The visitor data is collected from the computerized ticketing system. Timing:  Daily/Weekly/ Monthly",Numeric,FY2016-17,2017,250000,153723,275000,295003,,0,1
AsianArtMuseum.csv,1046,ASIAN ART MUSEUM,Illuminate Asian art and culture for a global audience,Number of museum visitors,Number of every museum visitor entering the front door.,"Collection Method: At the admission desk of AAM, all visitors (both paid and non-paid) are ticketed.  The visitor data is collected from the computerized ticketing system. Timing:  Daily/Weekly/ Monthly",Numeric,FY2017-18,2018,200000,101580,210000,210010,,0,1
AsianArtMuseum.csv,1047,ASIAN ART MUSEUM,Illuminate Asian art and culture for a global audience,Number of museum visitors,Number of every museum visitor entering the front door.,"Collection Method: At the admission desk of AAM, all visitors (both paid and non-paid) are ticketed.  The visitor data is collected from the computerized ticketing system. Timing:  Daily/Weekly/ Monthly",Numeric,FY2018-19,2019,210000,88185,180000,192063,,0,1
AsianArtMuseum.csv,1048,ASIAN ART MUSEUM,Illuminate Asian art and culture for a global audience,Number of museum visitors,Number of every museum visitor entering the front door.,"Collection Method: At the admission desk of AAM, all visitors (both paid and non-paid) are ticketed.  The visitor data is collected from the computerized ticketing system. Timing:  Daily/Weekly/ Monthly",Numeric,FY2019-20,2020,307000,88501,239000,93599,,0,0
AsianArtMuseum.csv,1049,ASIAN ART MUSEUM,Illuminate Asian art and culture for a global audience,Number of museum visitors,Number of every museum visitor entering the front door.,"Collection Method: At the admission desk of AAM, all visitors (both paid and non-paid) are ticketed.  The visitor data is collected from the computerized ticketing system. Timing:  Daily/Weekly/ Monthly",Numeric,FY2020-21,2021,350000,,19000,23564,,0,0
AsianArtMuseum.csv,1050,ASIAN ART MUSEUM,Illuminate Asian art and culture for a global audience,Number of museum visitors,Number of every museum visitor entering the front door.,"Collection Method: At the admission desk of AAM, all visitors (both paid and non-paid) are ticketed.  The visitor data is collected from the computerized ticketing system. Timing:  Daily/Weekly/ Monthly",Numeric,FY2021-22,2022,103000,114626,170000,173000,,1,0
AsianArtMuseum.csv,1051,ASIAN ART MUSEUM,Illuminate Asian art and culture for a global audience,Number of museum visitors,Number of every museum visitor entering the front door.,"Collection Method: At the admission desk of AAM, all visitors (both paid and non-paid) are ticketed.  The visitor data is collected from the computerized ticketing system. Timing:  Daily/Weekly/ Monthly",Numeric,FY2022-23,2023,200000,49500,115000,106000,,1,0
AsianArtMuseum.csv,1052,ASIAN ART MUSEUM,Illuminate Asian art and culture for a global audience,Number of museum visitors,Number of every museum visitor entering the front door.,"Collection Method: At the admission desk of AAM, all visitors (both paid and non-paid) are ticketed.  The visitor data is collected from the computerized ticketing system. Timing:  Daily/Weekly/ Monthly",Numeric,FY2023-24,2024,300000,99776,185000,180900,No public data notes.,1,0
AsianArtMuseum.csv,1053,ASIAN ART MUSEUM,Illuminate Asian art and culture for a global audience,Number of museum visitors,Number of every museum visitor entering the front door.,"Collection Method: At the admission desk of AAM, all visitors (both paid and non-paid) are ticketed.  The visitor data is collected from the computerized ticketing system. Timing:  Daily/Weekly/ Monthly",Numeric,FY2024-25,2025,175000,54906,110000,113551,No public data notes.,1,0
AsianArtMuseum.csv,1054,ASIAN ART MUSEUM,Illuminate Asian art and culture for a global audience,Number of museum visitors,Number of every museum visitor entering the front door.,"Collection Method: At the admission desk of AAM, all visitors (both paid and non-paid) are ticketed.  The visitor data is collected from the computerized ticketing system. Timing:  Daily/Weekly/ Monthly",Numeric,FY2025-26,2026,100000,,,,No public data notes.,1,0
